Entity ID,Entity,Payoff,Product IDs,Internal Product ID,Product Name,Underlying(s),Product Creator,Product Create Time,Product Modify Time,Traded,KID Creator,KID Lang,KID Publish Time,Notional CCY,Notional Amount,FX Rate,Notional (EUR),Moderate Price (%),Moderate Return,RIY @RHP (%),KID Date,SRI
73,CA-CIB,EMTN - CLN on Basket,Internal Code-wZ92Hfly,93977,EMTN - CLN on Basket - test float," EUR003M Index, TAMT5YEUAM=R, ISEA5YUSAC=R, TOYC5YJPAC=R",NULL,5/23/2018,5/23/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,100,0,0,7/17/2018,3
73,CA-CIB,EMTN - CLN on Single,Internal Code-8rLnHzm4,95562,EMTN - CLN on Brazil," US0003M Index, BRGV5YUSAC=R",Jenna Sitruk,8/15/2018,8/28/2018,,NULL,NULL,NULL,USD,NULL,1.1438,NULL,NULL,NULL,NULL,8/28/2018,NULL
73,CA-CIB,EMTN - CLN on Single,ISIN Code-chvOj1re,94124,EMTN - CLN on Casino," US0003M Index, CASP5YEUAM=R",NULL,5/25/2018,5/25/2018,,NULL,NULL,NULL,USD,718000,1.1718,612732.5482,163.06,10.13,0.09,5/25/2018,4
73,CA-CIB,EMTN - CLN on Single,Internal Code-yCITklZp,93627,EMTN - CLN on Cemex - SAMPLE ," US0003M Index, CMXC5YUSAC=R",NULL,4/30/2018,5/3/2018,Traded,NULL,NULL,NULL,USD,718000,1.1851,605856.0459,182.22,12.38,0.1,4/30/2018,4
73,CA-CIB,EMTN - CLN on Single,ISIN Code-BjKnznwq,94465,EMTN - CLN on Dell," US0006M Index, DELL5YUSAX=R",NULL,6/8/2018,6/8/2018,,NULL,NULL,NULL,USD,718000,1.1604,618752.1544,175.32,11.83,1.03,6/8/2018,4
73,CA-CIB,EMTN - CLN on Single,ISIN Code-JbUHC1LS,95327,EMTN - CLN on Dell," US0006M Index, DELL5YUSAX=R",Jenna Sitruk,7/23/2018,7/23/2018,,NULL,NULL,NULL,USD,718000,1.1657,615938.9208,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - CLN on Single,ISIN Code-9K5oLXZz,95328,EMTN - CLN on Dell," US0006M Index, DELL5YUSAX=R",Jenna Sitruk,7/23/2018,7/23/2018,,NULL,NULL,NULL,USD,718000,1.1657,615938.9208,174.81,12.03,1.05,7/23/2018,4
73,CA-CIB,EMTN - CLN on Index,Internal Code-ayDdItIr,95147,EMTN - CLN on Index," US0003M Index, ITEXO5Y29=R",Faiza CHAOUCH,7/10/2018,7/12/2018,,NULL,NULL,NULL,USD,NULL,1.1729,NULL,144.1,7.69,0.55,7/12/2018,3
73,CA-CIB,EMTN - CLN on Index,Internal Code-0uxoOSAn,95245,EMTN - CLN on Index," EUR003M Index, ITEXO5Y29=R",Faiza CHAOUCH,7/16/2018,7/16/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,86.07,-3,0.5,7/16/2018,3
73,CA-CIB,EMTN - CLN on Index,Internal Code-9LPHrNTi,95552,EMTN - CLN on Index," BP0003M Index, ITEEU5Y29=R",BADRAN George,8/15/2018,8/15/2018,,NULL,NULL,NULL,GBP,NULL,0.90848,NULL,114.5,2.84,0.34,8/15/2018,1
73,CA-CIB,EMTN - CLN on Index,Internal Code-sLSfyvZe,93980,EMTN - CLN on Index - test fixed then floating," EUR003M Index, ITEEU5Y29=R",NULL,5/23/2018,5/23/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,103.41,0.66,0.36,5/23/2018,1
73,CA-CIB,EMTN - CLN on Single,Internal Code-ZMo25aRn,94447,EMTN - CLN on Italy," US0003M Index, ITGV5YUSAC=R",NULL,6/7/2018,6/7/2018,,NULL,NULL,NULL,USD,718000,1.1572,620463.187,125.27,4.59,0.15,6/7/2018,3
73,CA-CIB,EMTN - CLN on Single,ISIN Code-JQy0xt1R,94466,EMTN - CLN on L Brands," US0006M Index, LTDD5YUSAX=R",NULL,6/8/2018,6/8/2018,,NULL,NULL,NULL,USD,718000,1.1604,618752.1544,176.8,12.02,1.03,6/8/2018,4
73,CA-CIB,EMTN - CLN on Single,ISIN Code-LU7l7kev,95326,EMTN - CLN on L Brands," US0006M Index, LTDD5YUSAX=R",Jenna Sitruk,7/23/2018,7/23/2018,,NULL,NULL,NULL,USD,718000,1.1657,615938.9208,163.8,10.55,1.04,7/23/2018,4
73,CA-CIB,EMTN - CLN on Index,ISIN Code-zXlssSUD,93511,EMTN - CLN on Markit - SAMPLE ," US0003M Index, ITEXO5Y19=R",NULL,4/19/2018,5/3/2018,Traded,NULL,NULL,NULL,USD,2025000,1.1993,1688484.95,152.3,8.49,0.48,4/30/2018,2
73,CA-CIB,EMTN - CLN on Single,ISIN Code-6Ox0HL6W,94388,EMTN - CLN on Mexico," US0003M Index, MXGV5YUSAC=R",NULL,5/31/2018,5/31/2018,Traded,NULL,NULL,NULL,USD,718000,1.1791,608939.0213,153.98,8.93,0.75,5/31/2018,2
73,CA-CIB,EMTN - CLN on Single,ISIN Code-3km9Mbkd,94448,EMTN - CLN on Pemex," US0006M Index, PEMA5YUSAC=R",NULL,6/7/2018,6/7/2018,Traded,NULL,NULL,NULL,USD,718000,1.1791,608939.0213,118.04,5.15,0,8/31/2018,3
73,CA-CIB,EMTN - CLN on Single,Internal Code-Order For : of - yCITklZp,94375,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",NULL,5/30/2018,5/31/2018,Traded,NULL,NULL,NULL,USD,718000,1.1745,611323.9676,155.84,9.54,0,8/20/2018,5
73,CA-CIB,EMTN - CLN on Single,Internal Code-Eyvn0coA,94394,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",NULL,6/1/2018,6/1/2018,Traded,NULL,NULL,NULL,USD,718000,1.1568,620677.7317,160.39,9.83,0.69,6/1/2018,5
73,CA-CIB,EMTN - CLN on Single,Internal Code-lHK8i6rP,94435,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",NULL,6/5/2018,6/5/2018,,NULL,NULL,NULL,USD,718000,1.1784,609300.7468,162.43,10.08,0.88,6/5/2018,5
73,CA-CIB,EMTN - CLN on Single,ISIN Code-Qrx0BP0F,94449,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",NULL,6/7/2018,6/7/2018,,NULL,NULL,NULL,USD,718000,1.1791,608939.0213,164.74,10.4,0.88,6/7/2018,5
73,CA-CIB,EMTN - CLN on Single,ISIN Code-3dl8KChK,94507,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",NULL,6/13/2018,6/13/2018,,NULL,NULL,NULL,USD,718000,1.159,619499.5686,161.57,10.4,0,8/29/2018,5
73,CA-CIB,EMTN - CLN on Single,ISIN Code-XS1782024308,95045,EMTN - CLN on Petra," US0003M Index, PETR5YUSAC=R",Jenna Sitruk,6/28/2018,6/28/2018,Traded,NULL,NULL,NULL,USD,718000,1.1691,614147.6349,157.4,9.96,0,9/24/2018,5
73,CA-CIB,EMTN - CLN on Single,Internal Code-iL8u4GUy,91693,EMTN - CLN on Petrobras," US0003M Index, PETR5YUSAC=R",NULL,2/5/2018,8/8/2018,Traded,NULL,NULL,NULL,USD,NULL,1.2406,NULL,113.34,2.79,0,8/8/2018,5
